RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,LOC_TOUCHED,LOC_TOUCHED_AVG,LOC_TOUCHED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,27,27.0,27,0,0.0,0,27,27.0,27,27,27.0,27,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,28,28.0,28,0,0.0,0,28,28.0,28,28,28.0,28,1,0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,29,30,15.0,30,1,0.5,1,31,15.5,31,29,14.5,29,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,566,600,150.0,600,34,8.5,34,634,158.5,634,566,141.5,566,4,0,3,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,64,80,40.0,80,16,8.0,16,96,48.0,96,64,32.0,64,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,15.0,30,1,0.5,1,31,15.5,31,29,14.5,29,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,64,65,32.5,65,1,0.5,1,66,33.0,66,64,32.0,64,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,20.0,40,3,1.5,3,43,21.5,43,37,18.5,37,2,0,2,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,39.5,79,11,5.5,11,90,45.0,90,68,34.0,68,2,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,154,165,55.0,165,11,3.6666667,11,176,58.666668,176,154,51.333332,154,3,0,2,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,72,73,36.5,73,1,0.5,1,74,37.0,74,72,36.0,72,2,0,2,YES
